C_g_ideal, pchange: 3.23490017472551E-13, cchange: 0.0020900000000008134
C_fringe, pgrad: 191367.128909258, value: 8e-17, delta: 8.00000000000000E-19, new_val: 7.92000000000000E-17
C_fringe, pchange: 1.53093703127407E-13, cchange: 0.011210000000000164

C_g_ideal, pgrad: 38282842304444.0, value: 8.45e-16, delta: 8.45000000000000E-18, new_val: 8.36550000000000E-16
C_g_ideal, pchange: 0.000323490017472551, cchange: 0.0020900000000008134
C_fringe, pgrad: 191367128909258, value: 8e-17, delta: 8.00000000000000E-19, new_val: 7.92000000000000E-17
C_fringe, pchange: 0.000153093703127407, cchange: 0.011210000000000164
C_junc, pgrad: 25828206250000.1, value: 1e-15, delta: 1.00000000000000E-17, new_val: 9.90000000000000E-16
C_junc, pchange: 0.000258282062500001, cchange: 0.0048200000000004906
C_junc_sw, pgrad: 137657106481482, value: 2.5e-16, delta: 2.50000000000000E-18, new_val: 2.47500000000000E-16
C_junc_sw, pchange: 0.000344142766203705, cchange: 0.01240000000000041
l_phy, pgrad: 0, value: 0.053, delta: 0, new_val: 0.0530000000000000
l_phy, pchange: 0, cchange: 0.0
l_elec, pgrad: 0, value: 0.0354, delta: 0, new_val: 0.0354000000000000
l_elec, pchange: 0, cchange: 0.0
nmos_effective_resistance_multiplier, pgrad: -0.00000102440814001025, value: 1.77, delta: 0.0177000000000000, new_val: 1.75230000000000
nmos_effective_resistance_multiplier, pchange: -1.81320240781815E-8, cchange: 0.05708000000000002
Vdd, pgrad: 0.0000830501978176752, value: 0.9, delta: 0.00900000000000000, new_val: 0.891000000000000
Vdd, pchange: 7.47451780359077E-7, cchange: 0.07103999999999999
Vth, pgrad: 0, value: 0.30764, delta: 0, new_val: 0.307640000000000
Vth, pchange: 0, cchange: 0.0
Vdsat, pgrad: 0, value: 0.113, delta: 0, new_val: 0.113000000000000
Vdsat, pchange: 0, cchange: 0.0
I_on_n, pgrad: 0.00469012521422180, value: 0.0003866, delta: 0.00000386600000000000, new_val: 0.000382734000000000
I_on_n, pchange: 1.81320240781815E-8, cchange: -0.09517999999999915
I_on_p, pgrad: 0, value: 0.0002097, delta: 0, new_val: 0.000209700000000000
I_on_p, pchange: 0, cchange: 0.0
C_ox, pgrad: 0, value: 1.59e-14, delta: 0, new_val: 1.59000000000000E-14
C_ox, pchange: 0, cchange: 0.0
t_ox, pgrad: 0, value: 0.0015, delta: 0, new_val: 0.00150000000000000
t_ox, pchange: 0, cchange: 0.0
n2p_drv_rt, pgrad: 0, value: 2.54, delta: 0, new_val: 2.54000000000000
n2p_drv_rt, pchange: 0, cchange: 0.0
lch_lk_rdc, pgrad: 0, value: 1.0, delta: 0, new_val: 1.00000000000000
lch_lk_rdc, pchange: 0, cchange: 0.0
Mobility_n, pgrad: 0, value: 46039000000.0, delta: 0, new_val: 46039000000.0000
Mobility_n, pchange: 0, cchange: 0.0
gmp_to_gmn_multiplier, pgrad: -0.0000913691144890975, value: 0.98, delta: 0.00980000000000000, new_val: 0.970200000000000
gmp_to_gmn_multiplier, pchange: -8.95417321993155E-7, cchange: 0.0
vpp, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
vpp, pchange: 0, cchange: 0.0
dram_cell_I_on, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
dram_cell_I_on, pchange: 0, cchange: 0.0
dram_cell_Vdd, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
dram_cell_Vdd, pchange: 0, cchange: 0.0
dram_cell_C, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
dram_cell_C, pchange: 0, cchange: 0.0
dram_cell_I_off_worst_case_len_temp, pgrad: 0, value: 1e-09, delta: 0, new_val: 1.00000000000000E-9
dram_cell_I_off_worst_case_len_temp, pchange: 0, cchange: 0.0
logic_scaling_co_eff, pgrad: 0, value: 1.0, delta: 0, new_val: 1.00000000000000
logic_scaling_co_eff, pchange: 0, cchange: 0.0
core_tx_density, pgrad: 0, value: 0.6125, delta: 0, new_val: 0.612500000000000
core_tx_density, pchange: 0, cchange: 0.0
sckt_co_eff, pgrad: 0, value: 1.1539, delta: 0, new_val: 1.15390000000000
sckt_co_eff, pchange: 0, cchange: 0.0
chip_layout_overhead, pgrad: 0, value: 1.2, delta: 0, new_val: 1.20000000000000
chip_layout_overhead, pchange: 0, cchange: 0.0
macro_layout_overhead, pgrad: 0, value: 1.1, delta: 0, new_val: 1.10000000000000
macro_layout_overhead, pchange: 0, cchange: 0.0
sense_delay, pgrad: 0, value: 2.8e-10, delta: 0, new_val: 2.80000000000000E-10
sense_delay, pchange: 0, cchange: 0.0
sense_dy_power, pgrad: 0, value: 1.47e-14, delta: 0, new_val: 1.47000000000000E-14
sense_dy_power, pchange: 0, cchange: 0.0
wire_pitch, pgrad: 0.00112758067016804, value: 8.0, delta: 0.0800000000000000, new_val: 7.92000000000000
